time, inductor_current, output_voltage 
0.000002,        0,        0 
0.000004,    15720,        0 
0.000006,    31440,       47 
0.000008,    47159,      141 
0.000010,    62877,      283 
0.000012,    78594,      472 
0.000014,    94309,      709 
0.000016,   110021,      993 
0.000018,   125731,     1325 
0.000020,   125717,     1704 
0.000022,   125699,     2083 
0.000024,   125678,     2462 
0.000026,   125653,     2840 
0.000028,   125624,     3218 
0.000030,   125591,     3596 
0.000032,   125555,     3974 
0.000034,   125515,     4352 
0.000036,   125471,     4729 
0.000038,   125423,     5106 
0.000040,   125371,     5483 
0.000042,   125316,     5860 
0.000044,   125257,     6236 
0.000046,   125194,     6612 
0.000048,   125127,     6988 
0.000050,   125057,     7363 
0.000052,   124983,     7738 
0.000054,   124905,     8113 
0.000056,   124823,     8487 
0.000058,   124738,     8861 
0.000060,   124649,     9235 
0.000062,   124556,     9608 
0.000064,   124459,     9981 
0.000066,   124359,    10354 
0.000068,   124255,    10726 
0.000070,   139867,    11098 
0.000072,   155476,    11517 
0.000074,   171080,    11983 
0.000076,   186680,    12496 
0.000078,   202275,    13056 
0.000080,   217864,    13663 
0.000082,   233447,    14317 
0.000084,   249023,    15017 
0.000086,   248872,    15764 
0.000088,   248714,    16511 
0.000090,   248548,    17257 
0.000092,   248375,    18002 
0.000094,   248195,    18746 
0.000096,   248007,    19490 
0.000098,   247812,    20233 
0.000100,   247609,    20975 
0.000102,   247399,    21716 
0.000104,   247181,    22456 
0.000106,   246956,    23196 
0.000108,   246724,    23935 
0.000110,   246484,    24673 
0.000112,   246237,    25410 
0.000114,   245983,    26146 
0.000116,   245721,    26881 
0.000118,   245452,    27615 
0.000120,   245176,    28348 
0.000122,   244892,    29080 
0.000124,   244601,    29811 
0.000126,   244303,    30540 
0.000128,   243997,    31268 
0.000130,   243684,    31995 
0.000132,   243364,    32721 
0.000134,   243036,    33446 
0.000136,   258421,    34170 
0.000138,   273799,    34940 
0.000140,   289169,    35756 
0.000142,   304531,    36618 
0.000144,   319885,    37527 
0.000146,   335229,    38482 
0.000148,   350564,    39483 
0.000150,   365889,    40530 
0.000152,   381203,    41623 
0.000154,   380786,    42762 
0.000156,   380358,    43899 
0.000158,   379919,    45034 
0.000160,   379468,    46168 
0.000162,   379006,    47300 
0.000164,   378533,    48430 
0.000166,   378048,    49559 
0.000168,   377552,    50686 
0.000170,   377045,    51811 
0.000172,   376527,    52934 
0.000174,   375997,    54055 
0.000176,   375456,    55174 
0.000178,   374904,    56291 
0.000180,   374341,    57406 
0.000182,   373767,    58519 
0.000184,   373182,    59630 
0.000186,   372586,    60739 
0.000188,   371978,    61846 
0.000190,   371359,    62951 
0.000192,   370729,    64053 
0.000194,   370088,    65153 
0.000196,   369436,    66251 
0.000198,   368773,    67347 
0.000200,   368099,    68440 
0.000202,   367414,    69531 
0.000204,   382439,    70620 
0.000206,   397453,    71754 
0.000208,   412455,    72933 
0.000210,   427446,    74157 
0.000212,   442424,    75426 
0.000214,   457390,    76739 
0.000216,   472343,    78097 
0.000218,   487282,    79500 
0.000220,   486487,    80948 
0.000222,   485677,    82393 
0.000224,   484853,    83835 
0.000226,   484015,    85274 
0.000228,   483162,    86710 
0.000230,   482295,    88143 
0.000232,   481414,    89573 
